Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,WATCHLIST-BE-B-01,(Watchlist) getWatchlistByIds(ids) [WATCHLIST-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,watchlist,query,,,,To Do,"*Acceptance Criteria:*
1. returns entries for ids; empty → []

*Full story:* be-04-stories.md#WATCHLIST-BE-B-01"
Story,WATCHLIST-BE-B-02,(Watchlist) getWatchlistReasons (cacheable) [WATCHLIST-BE-B-02],,Federate BreakDown Product,B,XS,dgs-migration,watchlist,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns reasons; cached

*Full story:* be-04-stories.md#WATCHLIST-BE-B-02"
Story,WATCHLIST-BE-B-03,(Watchlist) getWatchlistInspectionActions (cacheable) [WATCHLIST-BE-B-03],,Federate BreakDown Product,B,XS,dgs-migration,watchlist,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns actions; cached

*Full story:* be-04-stories.md#WATCHLIST-BE-B-03"
Story,WATCHLIST-BE-C-01,(Watchlist) getWatchlistByFilter(...) (4-step read) [WATCHLIST-BE-C-01],,Federate BreakDown Product,C,M,dgs-migration,watchlist,search,,B-01,,To Do,"*Acceptance Criteria:*
1. product→search→watchlist chain preserved
2. elastic query string exact (incl. `statusId: 501`)

*Full story:* be-04-stories.md#WATCHLIST-BE-C-01"
Story,WATCHLIST-BE-D-01,(Watchlist) createWatchlistEntries [WATCHLIST-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,watchlist,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. creates each entry + its user group
2. either failure → exception

*Full story:* be-04-stories.md#WATCHLIST-BE-D-01"
Story,WATCHLIST-BE-D-02,(Watchlist) cloneFilesForWatchlist [WATCHLIST-BE-D-02],,Federate BreakDown Product,D,M,dgs-migration,watchlist,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. clones each id with its paired cloneReference; `parentResource` stamped

*Full story:* be-04-stories.md#WATCHLIST-BE-D-02"
Story,WATCHLIST-BE-E-01,(Watchlist) updateWatchlistEntries (multi-step write) [WATCHLIST-BE-E-01],,Federate BreakDown Product,E,L,dgs-migration,watchlist,complex,,"SPIKE-01, B-01, product (`PRODUCT-BE-E-00`, the shared `WriteSaga` module)",,To Do,"*Requires spike:* SPIKE-01 (Non-Atomic Write Saga) — see program spike

*Acceptance Criteria:*
1. user-group upserts complete before the watchlist update (race fixed)
2. removed attachments archived
3. partial-failure strategy

*Test Cases:*
* [ ] existing-participants path
* [ ] new-participants path
* [ ] attachment archive
* [ ] ordering/await
* [ ] partial-failure
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Full story:* be-04-stories.md#WATCHLIST-BE-E-01"
Story,WATCHLIST-BE-F-01,(Watchlist) Product.watchlists (internal) [WATCHLIST-BE-F-01],,Federate BreakDown Product,F,XS,dgs-migration,watchlist,field-resolver,,B-01,,To Do,"*Acceptance Criteria:*
1. resolves in-process; no gateway hop
2. Field resolver uses a `MappedBatchLoader<String, List<SPARK_Watchlist>>` (`watchlistByProductIdLoader`) — when the parent query returns N products, watchlists are resolved in 1 batched call (not N)

*Full story:* be-04-stories.md#WATCHLIST-BE-F-01"
Story,WATCHLIST-BE-F-02,(Watchlist) ResourcesCount.watchlists (internal — TechPack) [WATCHLIST-BE-F-02],,Federate BreakDown Product,F,XS,dgs-migration,watchlist,field-resolver,,B-01,,To Do,"*Acceptance Criteria:*
1. count resolves in-process; parity vs the TechPack facade

*Full story:* be-04-stories.md#WATCHLIST-BE-F-02"
Story,WATCHLIST-BE-G-01,(Watchlist) Computed flatteners (status/reasons/inspection action) [WATCHLIST-BE-G-01],,Federate BreakDown Product,G,XS,dgs-migration,watchlist,field-resolver,,B-01,,To Do,"*Acceptance Criteria:*
1. each flattener maps correctly

*Full story:* be-04-stories.md#WATCHLIST-BE-G-01"
Story,WATCHLIST-BE-G-02,(Watchlist) createdBy + updatedBy + workspaces + participantDetails + partnerName [WATCHLIST-BE-G-02],,Federate BreakDown Product,G,M,dgs-migration,watchlist,field-resolver,,B-01,"user-group, user-profile, vmm, workspaceV2",To Do,"*Acceptance Criteria:*
1. each resolves; null-safe

*Full story:* be-04-stories.md#WATCHLIST-BE-G-02"
Story,WATCHLIST-BE-G-03,(Watchlist) attachments + product [WATCHLIST-BE-G-03],,Federate BreakDown Product,G,M,dgs-migration,watchlist,field-resolver,,B-01,search,To Do,"*Acceptance Criteria:*
1. attachments via elastic
2. `product` null when not `PID*`

*Full story:* be-04-stories.md#WATCHLIST-BE-G-03"
Story,WATCHLIST-BE-G-05,"(Watchlist) WatchlistPartner.partner entity reference (recommended, PO-gated) [WATCHLIST-BE-G-05]",,Federate BreakDown Product,G,XS,dgs-migration,watchlist,field-resolver,,G-02,,Recommended (PO-gated — federation-review/03 §2 REC-3),"*Acceptance Criteria:*
1. PO approval recorded (OQ-5) before implementation starts
2. `partner { id name }` resolves via the gateway; `partnerName` parity is preserved
3. No additional VMM calls from the watchlist subgraph (stub emission only)

*Full story:* be-04-stories.md#WATCHLIST-BE-G-05"
